iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,dispatch,0.11155595012291966,true,1.0,0.005813756785927104,true,false,1
2,dispatch,0.1114797888106361,true,1.0,0.00590522461201326,true,false,1
3,dispatch,0.1114033050428901,true,1.0,0.006000432159352753,true,false,1
4,dispatch,0.11132639602395135,true,1.0,0.006099669667872121,true,false,1
5,dispatch,0.11124895564506336,true,1.0,0.006203159739617048,true,false,1
6,dispatch,0.11117087501670084,true,1.0,0.006311223376279207,true,false,1
7,dispatch,0.11109204030885564,true,1.0,0.006424165720466446,true,false,1
8,dispatch,0.11101233278978061,true,1.0,0.006542331581933292,true,false,1
9,dispatch,0.11093162743515704,true,1.0,0.006666107258922249,true,false,1
10,dispatch,0.11084979173444877,true,1.0,0.006795919623407531,true,false,1
11,dispatch,0.11076668447682186,true,1.0,0.006932240559227587,true,false,1
12,dispatch,0.11068215411047523,true,0.5,0.007075596584189103,true,false,2
13,dispatch,0.11063920136681603,true,0.0625,0.007150492878483905,true,false,5
14,dispatch,0.11063379089584881,true,0.015625,0.0071600399222147,true,false,7
15,dispatch,0.11063243695695263,true,0.0078125,0.0071624329486734695,true,false,8
16,dispatch,0.11063175974930063,true,0.0009765625,0.00716363023550004,true,false,11
17,dispatch,0.11063166806978367,true,0.001953125,0.007163778409981947,true,true,10
18,dispatch,0.11063153850185457,true,1.0,0.0071640842724898235,true,true,1
19,dispatch,0.1105659460249508,true,0.03125,0.007323387321667374,true,true,6
20,dispatch,0.11056316278524707,true,0.0078125,0.007328448354040229,true,false,8
21,dispatch,0.11056246658790833,true,0.00390625,0.007329715303161732,true,false,9
22,dispatch,0.11056210252584334,true,0.0078125,0.0073303459464635345,true,true,8
23,dispatch,0.1105615671088432,false,,,false,false,0
