method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-convex-central,R9-RN1-flow-E,model,30,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,31,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,32,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,33,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,34,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,35,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,36,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,37,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,38,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,39,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,40,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,41,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,42,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,43,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,44,16,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-tree-E,model,all,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-edge-count-E,model,all,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,1,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,2,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,3,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,4,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,5,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,6,17,1.1102230246251565e-16,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,7,17,8.881784197001252e-16,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,8,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,9,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,10,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,11,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,12,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,13,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,14,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,15,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,16,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,17,17,2.220446049250313e-16,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,18,17,0.0,1,1.0e-6,true
fixed-convex-central,R9-RN1-flow-E,model,19,17,0.0,1,1.0e-6,true
