method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-mip-central,R9-T4-original-grid,electric_original,17,13,1.142492865721309e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,18,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,18,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,18,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,18,13,1.400896780035573e-15,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,18,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,18,13,5.95188750715514e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,19,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,19,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,19,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,19,13,1.373659038012248e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,19,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,19,13,2.1478781427053395e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,20,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,20,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,20,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,20,13,3.6081909487138686e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,20,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,20,13,1.1315983814862065e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,21,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,21,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,21,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,21,13,6.838554380975484e-15,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,21,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,21,13,3.1180264045607003e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,22,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,22,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,22,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,22,13,7.622449492341449e-18,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,22,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,22,13,9.819627417781678e-12,pu²,1.0e-6,true
