record,run_id,block,formula,object,step,scenario,residual,tolerance,normalized_residual,unit,pass
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,binary-z,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,integer-z,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,binary-beta,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,integer-beta,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,binary-beta,2,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,integer-beta,2,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,binary-a_on,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,integer-a_on,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,binary-a_off,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,integer-a_off,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,R7-R1,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,on-action,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,off-action,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,virtual-arc,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-63,network,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,forest-edges,network,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,forest-independent,network,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,one-root-per-component,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,root-eligible,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,root-supply,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,virtual-node,1,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,root-eligible,2,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,root-supply,2,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,virtual-node,2,0,0,0.0,1.0e-6,0.0,1,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-8/56/60,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-3/9,1,1,1,0.0,2.0e-6,0.0,Mvar,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-11,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-4/57,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-5/58,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,inactive-charge,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,inactive-discharge,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-8/56/60,2,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-3/9,2,1,1,0.0,2.0e-6,0.0,Mvar,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-11,2,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,battery-charge,2,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,battery-discharge,2,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-12,2,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-14,2,1,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,inactive-energy,1,1,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,inactive-energy,1,2,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-13,2,1,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-61,2,1,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-13,2,2,1,0.0,2.0e-6,0.0,MWh,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-51-P,PCC,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-51-Q,PCC,1,1,0.0,2.0e-6,0.0,Mvar,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-24:25-P_line,1,1,1,0.0,2.0e-6,0.0,MW,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-24:25-Q_line,1,1,1,0.0,2.0e-6,0.0,Mvar,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,R7-R3,1,1,1,9.107298248878237e-18,1.0e-6,9.107298248878237e-12,pu,true
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,shared,6-22,1,1,1,0.0,1.0e-6,0.0,pu,true
