record,run_id,block,formula,object,step,scenario,residual,tolerance,normalized_residual,unit,pass
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,5,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,5,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,5,2,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,5,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,5,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,6,1,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,6,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,6,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,6,1,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,6,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,6,2,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,6,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,6,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,6,2,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,6,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,7,1,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,7,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,7,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,7,1,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,7,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,7,2,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,7,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,7,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,7,2,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,7,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,8,1,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,8,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,8,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,8,1,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,8,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,8,2,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,8,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,8,2,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,8,2,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,8,2,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,R/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_source/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,T_load/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-source,1,9,1,2.7755575615628914e-17,1.0e-6,2.7755575615628914e-11,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T2-load,1,9,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-control,1,9,1,0.0,1.0e-6,0.0,MW,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-port-source,1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-idle-load,1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-mass,1,9,1,0.0,1.0e-6,0.0,kg/s,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,S/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T3-mix,R/1,9,1,0.0,0.0001,0.0,K,true
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,thermal,R7-T-bound,S/1,9,2,0.0,0.0001,0.0,K,true
