iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,dispatch,-8.535997596637147e-14,true,1.0,9.212119733703616e-8,true,false,1
2,dispatch,-8.536003922488785e-14,true,1.0,9.212057450191935e-8,true,false,1
3,dispatch,-8.536010226280285e-14,true,1.0,9.211939699937943e-8,true,false,1
4,dispatch,-8.53601660420454e-14,false,,9.211900175998267e-8,true,false,0
