fault,parent_run_id,time,scenario,hour,dt_h,probability,critical_MW,internal_generation_upper_MW,boundary_import_upper_MW,loss_lower_MW,weighted_energy_lower_MWh
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,2,1,10.25,0.25,1.0,8.020833333333332,0.0,5.9679570661896255,2.0528762671437075,0.5132190667859269
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,3,1,10.5,0.25,1.0,8.020833333333332,0.0,5.9679570661896255,2.0528762671437075,0.5132190667859269
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,4,1,10.75,0.25,1.0,8.020833333333332,0.0,5.9679570661896255,2.0528762671437075,0.5132190667859269
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,5,1,11.0,0.25,1.0,7.699999999999999,0.0,5.9679570661896255,1.7320429338103738,0.43301073345259344
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,6,1,11.25,0.25,1.0,7.699999999999999,0.0,5.9679570661896255,1.7320429338103738,0.43301073345259344
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,7,1,11.5,0.25,1.0,7.699999999999999,0.0,5.9679570661896255,1.7320429338103738,0.43301073345259344
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,8,1,11.75,0.25,1.0,7.699999999999999,0.0,5.9679570661896255,1.7320429338103738,0.43301073345259344
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,9,1,12.0,0.25,1.0,7.21875,0.0,5.9679570661896255,1.2507929338103747,0.3126982334525937
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,10,1,12.25,0.25,1.0,7.21875,0.0,5.9679570661896255,1.2507929338103747,0.3126982334525937
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,11,1,12.5,0.25,1.0,7.21875,0.0,5.9679570661896255,1.2507929338103747,0.3126982334525937
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,12,1,12.75,0.25,1.0,7.21875,0.0,5.9679570661896255,1.2507929338103747,0.3126982334525937
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,13,1,13.0,0.25,1.0,6.9781249999999995,0.0,5.9679570661896255,1.0101679338103744,0.2525419834525936
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,14,1,13.25,0.25,1.0,6.9781249999999995,0.0,5.9679570661896255,1.0101679338103744,0.2525419834525936
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,15,1,13.5,0.25,1.0,6.9781249999999995,0.0,5.9679570661896255,1.0101679338103744,0.2525419834525936
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,16,1,13.75,0.25,1.0,6.9781249999999995,0.0,5.9679570661896255,1.0101679338103744,0.2525419834525936
