fault,parent_run_id,case_sha256,original_status,parent_model_pass,lower_bound_MWh,parent_loss_MWh,limit_MWh,threshold_excluded,boundary_import_upper_MW,certificate_pass
external_only,r7-recovery-851156cf-52c6-4e87-8871-9042463c37f6,b1a30330fe482f63caa8d12807d4a36b32a23c40c849e0ab028adb5413dff7fc,solver_optimal,true,0.0,0.0,2.0,false,79.2700563995514,true
single_1_2,r7-recovery-d5eb7f41-4446-4b81-892e-a60bea421a4b,b1a30330fe482f63caa8d12807d4a36b32a23c40c849e0ab028adb5413dff7fc,solver_optimal,true,0.0,9.447932245080498,2.0,false,79.2700563995514,true
author_event1,r7-recovery-247b43d7-289b-47df-8990-54d7ad55ec78,b1a30330fe482f63caa8d12807d4a36b32a23c40c849e0ab028adb5413dff7fc,solver_optimal,true,6.04588006857483,10.319838401908141,2.0,true,5.9679570661896255,true
