record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,1,1.0,292.15,0.01,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,2,1.0,292.15,0.03149999999999977,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,3,1.0,292.15,0.032999999999999544,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,4,1.0,292.15,0.034500000000000454,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,5,1.0,292.15,0.036000000000000226,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,6,1.0,292.15,0.034500000000000454,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,7,1.0,292.15,0.032999999999999544,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,8,1.0,292.15,0.03,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,9,1.0,292.15,0.027000000000000454,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,10,1.0,292.15,0.02399999999999977,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,11,1.0,292.15,0.021000000000000227,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,12,1.0,292.15,0.017999999999999544,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,13,1.0,292.15,0.015,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,14,1.0,292.15,0.013500000000000227,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,15,1.0,292.15,0.015,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,16,1.0,292.15,0.017999999999999544,0.08688444907194372,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,17,1.0,293.7798683203847,0.05848697136884873,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,18,1.0,294.15,0.03740263359230425,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,19,1.0,294.15,0.032999999999999544,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,20,1.0,294.15,0.034499999999999316,0.08,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,21,1.0,294.15,0.03599999999999909,0.11461583552244212,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,22,1.0,294.15,0.03599999999999909,0.09222775294641405,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,23,1.0,292.94683468676453,0.008327197795584329,0.12,0.0,0.0
D,r5-strategic-0d626953-1d6d-4194-b6fc-74a71cbcfb83,training_mean_zero_call,building,24,1.0,293.15,0.03706330626470731,0.11,0.0,0.0
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,1,1.0,292.15,0.01,0.08845992973848726,-0.0018560192123083796,-0.0018560192123083864
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,2,1.0,292.15,0.03149999999999977,0.09901611200648079,-0.01901611200648079,-0.019016112006480793
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,3,1.0,292.15,0.032999999999999544,0.12433642078018994,-0.04433642078018994,-0.04433642078018994
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,4,1.0,292.15,0.034500000000000454,0.09998248110646338,-0.019982481106463376,-0.019982481106463383
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,5,1.0,292.15,0.036000000000000226,0.028128808694971245,0.051871191305028756,0.051871191305028756
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,6,1.0,292.15,0.034500000000000454,0.05964608889160913,0.020353911108390875,0.020353911108390875
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,7,1.0,294.0187474131081,0.07598119050148466,0.07629207314791786,0.0037079268520821412,0.0037079268520821464
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,8,1.0,293.22822891002784,0.01742431666847971,0.053676828686920745,0.026323171313079256,0.026323171313079256
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,train_001897,building,9,1.0,293.35,0.033035421799440884,0.08929372391239306,-0.009293723912393054,-0.00929372391239305
