stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
2,diagnostic,3-41,model,1,1,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,1,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,1,2,2.362415818524255e-13,MW,3.0e-6,true
2,diagnostic,3-17-original,physics,1,2,2.362415818524255e-13,MW,3.0e-6,true
2,diagnostic,3-19:20,model,1,2,4.163336342344337e-17,MW,3.0e-6,true
2,diagnostic,3-37,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,2,0.0,kPa,0.001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,2,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,1,3,2.417233080365122e-13,MW,3.0e-6,true
2,diagnostic,3-17-original,physics,1,3,2.417233080365122e-13,MW,3.0e-6,true
2,diagnostic,3-19:20,model,1,3,4.163336342344337e-17,MW,3.0e-6,true
2,diagnostic,3-37,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,3,0.0,kPa,0.001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,3,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
