record,run_id,iteration,key,pipe,side,scenario,segment,mass_kg,base_K,amplitude_K,rate_per_kg,from_left
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","2:1","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","2:1","1","R","1","1","18000.0","293.15","30.0","0.0","true"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","2:1","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:0","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:0","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:0","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:1","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:1","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:1","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","1:1","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:0","1","S","1","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:0","1","S","2","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:0","1","R","1","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:0","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:1","1","S","1","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:1","1","S","2","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:1","1","R","1","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","2:1","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:0","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:0","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:0","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:1","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:1","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:1","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","1:1","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:0","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:0","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:0","1","R","1","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:0","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:1","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:1","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:1","1","R","1","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","2:1","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:0","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:0","1","S","2","1","18000.0","293.15","49.04761904761904","0.0","true"
