record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_R","2","3.0","314.102380952381","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","τ_R","2","4.0","323.1023809523809","K"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","2","τ_R","2","4.0","323.1023809523809","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","E_BES","2","0.0","0.2","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","E_BES","2","0.0","0.15","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","E_BES","2","3.0","0.6010000000000026","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","E_BES","2","3.0","0.39899999999999736","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","E_BES","2","4.0","0.2","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","E_BES","2","4.0","0.15","MWh"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","1","1.0","333.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","1","1.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","1","2.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","1","2.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","1","3.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","1","3.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","1","4.0","342.15","K"
