run_id,t,grid_MW,source_heat_MW,pv_MW,source_1_K,source_15_K
cf_ct_clarabel_socp,1,21.770796509104773,6.145348843187055,3.6049397967300833e-10,363.15,363.15
cf_ct_clarabel_socp,2,20.535721789033364,6.137403243592349,3.6036081207933506e-10,363.15,363.15
cf_ct_clarabel_socp,3,19.771667457689823,6.0686928578008725,3.6028256580825733e-10,363.15,363.15
cf_ct_clarabel_socp,4,19.469415657068517,5.953385313636331,3.6025268597243615e-10,363.15,363.15
cf_ct_clarabel_socp,5,20.242515346761635,6.019919294329173,3.603284288349876e-10,363.15,363.15
cf_ct_clarabel_socp,6,20.505067715737734,6.358713401819886,6.289821314497598e-10,363.15,363.15
cf_ct_clarabel_socp,7,23.577002067789973,6.849523059211147,0.6000000005463201,363.15,363.15
cf_ct_clarabel_socp,8,25.929767838189193,7.2618384849072894,2.4000000005454982,363.15,363.15
cf_ct_clarabel_socp,9,26.766751920980827,7.326303502039927,4.800000000716098,363.15,363.15
cf_ct_clarabel_socp,10,25.697192006018785,7.03022435910006,7.800000000708204,363.15,363.15
cf_ct_clarabel_socp,11,24.530334158096252,6.617623783363585,10.200000000714667,363.15,363.15
cf_ct_clarabel_socp,12,21.844855496283245,6.322761388054655,11.520000000709915,363.15,363.15
cf_ct_clarabel_socp,13,19.072146472176584,6.125277854871901,12.000000000533399,363.15,363.15
cf_ct_clarabel_socp,14,18.584572266963562,5.967659369065771,11.400000000526775,363.15,363.15
cf_ct_clarabel_socp,15,21.652873327518062,5.9560424871860045,9.600000000531216,363.15,363.15
cf_ct_clarabel_socp,16,25.51483647401061,6.17738995160386,7.200000000539447,363.15,363.15
cf_ct_clarabel_socp,17,29.78121476600661,6.600577702292322,4.200000000542874,363.15,363.15
cf_ct_clarabel_socp,18,32.937370423953915,7.054827096974771,1.4400000007228233,363.15,363.15
cf_ct_clarabel_socp,19,32.59051143126936,7.160143802972575,7.530226263640042e-10,363.15,363.15
cf_ct_clarabel_socp,20,30.278837624842993,6.948316271284506,7.522042396676741e-10,363.15,363.15
cf_ct_clarabel_socp,21,27.232310366406594,6.656131449111632,7.516977395886603e-10,363.15,363.15
cf_ct_clarabel_socp,22,26.87220432298083,6.429826320766758,3.6106619152357307e-10,363.15,363.15
cf_ct_clarabel_socp,23,24.970661722028424,6.257508611389274,3.6085340120362105e-10,363.15,363.15
cf_ct_clarabel_socp,24,22.98337408025576,6.174037750584898,3.606294737695356e-10,363.15,363.15
cf_vt_clarabel_socp,1,24.411463327329816,4.3185067048436805,1.7125968747866864e-12,343.15000001268334,373.1499999954488
