run_id,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--central_socp,heat_conversion,model,2,2,1.3877787807814457e-17,3.0e-6,MW,true
open_flexible--central_socp,R4-P2,model,2,2,0.0,1.2e-6,MWh,true
open_flexible--central_socp,battery_mode,model,2,2,0.0,1.0e-6,1,true
open_flexible--central_socp,binary,model,2,2,0.0,1.0e-6,1,true
open_flexible--central_socp,charge_exclusive,model,2,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,discharge_exclusive,model,2,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,PV,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--central_socp,demand,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,2,3,0.0,1.0e-6,MW²,true
open_flexible--central_socp,heat_conversion,model,2,3,2.7755575615628914e-17,3.0e-6,MW,true
open_flexible--central_socp,R4-P2,model,2,3,7.700694160844065e-18,1.2e-6,MWh,true
open_flexible--central_socp,battery_mode,model,2,3,0.0,1.0e-6,1,true
open_flexible--central_socp,binary,model,2,3,0.0,1.0e-6,1,true
open_flexible--central_socp,charge_exclusive,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,discharge_exclusive,model,2,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,PV,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--central_socp,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--central_socp,heat_conversion,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,R4-P2,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--central_socp,battery_mode,model,2,4,0.0,1.0e-6,1,true
open_flexible--central_socp,binary,model,2,4,0.0,1.0e-6,1,true
open_flexible--central_socp,charge_exclusive,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,discharge_exclusive,model,2,4,0.0,3.0e-6,MW,true
open_flexible--central_socp,energy,model,2,1,0.0,1.2e-6,MWh,true
open_flexible--central_socp,energy,model,2,2,0.0,1.2e-6,MWh,true
open_flexible--central_socp,energy,model,2,3,0.0,1.2e-6,MWh,true
open_flexible--central_socp,energy,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--central_socp,energy,model,2,5,0.0,1.2e-6,MWh,true
open_flexible--central_socp,initial,model,2,0,0.0,1.2e-6,MWh,true
open_flexible--central_socp,terminal,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,PV,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--central_socp,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--central_socp,heat_conversion,model,3,1,1.317453091065346e-13,3.0e-6,MW,true
open_flexible--central_socp,R4-P2,model,3,1,0.0,1.2e-6,MWh,true
open_flexible--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,PV,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--central_socp,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--central_socp,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--central_socp,heat_conversion,model,3,2,8.326672684688674e-15,3.0e-6,MW,true
open_flexible--central_socp,R4-P2,model,3,2,0.0,1.2e-6,MWh,true
open_flexible--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--central_socp,devices,model,3,3,0.0,3.0e-6,MW,true
