policy,fixed_run,flexible_run,same_preference_and_other_data,qualified,fixed_cost,flexible_cost,candidate_saving
open,open_fixed--central_exact,open_flexible--central_exact,true,true,179.72661770327298,165.0493297589507,14.677287944322273
import,import_fixed--central_exact,import_flexible--central_exact,true,true,207.6896712880898,191.7927323567859,15.896938931303907
