run_id,actor,resource,external,dissatisfaction,prepayment_cost,net_cash,utility
open_flexible--central_socp,DSO,18.005698682139414,91.74086639590004,0.0,109.74656507803945,268.74549223493756,158.9989271568981
open_flexible--central_socp,A,11.179018983266612,0.0,2.3693717641522802,13.548390747418892,-55.27562119056417,-68.82401193798307
open_flexible--central_socp,B,39.3687250825464,0.0,2.3856838184189293,41.75440890096533,-213.46987104437335,-255.22427994533868
open_flexible--central_exact,DSO,18.005905250194647,91.74003345722848,0.0,109.74593870742312,268.7441345742838,158.99819586686067
open_flexible--central_exact,A,11.179016651650839,0.0,2.369345722609961,13.5483623742608,-55.275621141861954,-68.82398351612275
open_flexible--central_exact,B,39.36899744780564,0.0,2.386031229461127,41.755028677266765,-213.46851343242184,-255.2235421096886
open_fixed--central_socp,DSO,13.019662106855842,89.81069871094441,0.0,102.83036081780025,253.34560757600383,150.51524675820357
open_fixed--central_socp,A,11.179023310113317,0.0,11.34500000000002,22.524023310113336,-44.08410214971735,-66.60812545983069
open_fixed--central_socp,B,31.37226894736475,0.0,23.00000000000004,54.37226894736479,-209.26150542628653,-263.6337743736513
open_fixed--central_exact,DSO,13.019700595032582,89.80999034064544,0.0,102.82969093567803,253.34428599338935,150.51459505771132
open_fixed--central_exact,A,11.179016622646477,0.0,11.34500000000002,22.5240166226465,-44.0843303444639,-66.6083469671104
open_fixed--central_exact,B,31.372910144948406,0.0,23.00000000000004,54.37291014494845,-209.25995564892548,-263.6328657938739
import_flexible--independent_exact,DSO,24.810378992054744,61.20239966055043,0.0,86.01277865260516,182.24518838514376,96.2324097325386
import_flexible--independent_exact,A,9.892228212118596,0.0,6.674084496484611,16.566312708603206,-63.08459019361531,-79.65090290221852
import_flexible--independent_exact,B,84.0,0.0,13.119401832945002,97.119401832945,-119.16059819152842,-216.28000002447342
import_flexible--central_socp,DSO,30.409400629751122,63.27797011250558,0.0,93.6873707422567,204.12148513730267,110.43411439504597
import_flexible--central_socp,A,9.892135185226081,0.0,1.0895355657900812,10.981670751016162,-71.04822843215337,-82.02989918316953
import_flexible--central_socp,B,83.99997389151673,0.0,3.123750620694178,87.12372451221091,-133.07325670514928,-220.1969812173602
import_flexible--central_exact,DSO,30.40999925179738,63.27736974218266,0.0,93.68736899398004,204.12146318861141,110.43409419463137
import_flexible--central_exact,A,9.892173351425294,0.0,1.089485812880496,10.981659164305789,-71.04822557512261,-82.02988473942841
import_flexible--central_exact,B,84.0,0.0,3.1237041985000835,87.12370419850008,-133.07323761348877,-220.19694181198884
import_fixed--independent_exact,DSO,21.659997687427676,59.26762762216683,0.0,80.9276253095945,172.08333333333331,91.15570802373881
import_fixed--independent_exact,A,9.617916666666666,0.0,11.34500000000002,20.962916666666686,-61.28333333333333,-82.24625000000002
import_fixed--independent_exact,B,84.0,0.0,23.00000000000004,107.00000000000004,-110.80000000000001,-217.80000000000007
import_fixed--central_socp,DSO,21.659959345756732,58.06692917612564,0.0,79.72688852188237,172.08334473813778,92.35645621625541
import_fixed--central_socp,A,9.617916559580705,0.0,11.34500000000002,20.962916559580727,-61.28333611205734,-82.24625267163808
import_fixed--central_socp,B,83.99999891278244,0.0,23.00000000000004,106.99999891278249,-110.80000862608048,-217.80000753886299
import_fixed--central_exact,DSO,21.660000000000004,58.06675462142307,0.0,79.72675462142308,172.08333333333331,92.35657871191023
import_fixed--central_exact,A,9.617916666666666,0.0,11.34500000000002,20.962916666666686,-61.28333333333334,-82.24625000000003
import_fixed--central_exact,B,84.0,0.0,23.00000000000004,107.00000000000004,-110.80000000000001,-217.80000000000007
import_flexible--clarabel_enumeration,DSO,30.410000694827204,63.2773695485141,2.6723158510397834e-22,93.6873702433413,204.12146630260258,110.43409605926128
import_flexible--clarabel_enumeration,A,9.892173646392838,0.0,1.0894849989972972,10.981658645390135,-71.04822681330309,-82.02988545869323
import_flexible--clarabel_enumeration,B,84.00000000044366,0.0,3.123703419631377,87.12370342007505,-133.07323948929954,-220.19694290937457
