record_id,run_id,case,solver,node,t,dt_h,certified,LMP_USD_MWh,up_price_USD_MW_h,down_price_USD_MW_h
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,highs,1,1,1.0,true,50.0,5.0,2.0
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,clarabel,1,1,1.0,true,49.999999999995204,-5.562861358113356,-8.532219812390357
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,highs,1,1,1.0,true,20.0,5.0,2.0
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,clarabel,1,1,1.0,true,19.99999999998349,4.999999999992773,1.9999999998637772
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,highs,1,1,0.25,true,20.0,5.0,2.0
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,clarabel,1,1,0.25,true,20.00000000005498,4.999999999903337,1.999999999803576
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,1,1,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,1,2,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,1,3,1.0,true,22.0,7.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,1,4,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,2,1,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,2,2,1.0,true,20.0,5.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,2,3,1.0,true,50.0,7.0,1.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,highs,2,4,1.0,true,20.0,5.0,1.0
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,1,1,1.0,true,10.626172914191772,5.000000000009709,0.9999999999557647
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,1,2,1.0,true,29.37382708595892,5.000000000094043,0.9999999999538198
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,1,3,1.0,true,38.35567355446099,6.99999999988179,0.9999999999978093
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,1,4,1.0,true,3.644326445603676,5.000000000028073,0.999999999955671
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,2,1,1.0,true,10.626172914207292,5.000000000009709,0.9999999999557647
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,2,2,1.0,true,29.373827086013602,5.000000000094043,0.9999999999538198
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,2,3,1.0,true,49.99999999995462,6.99999999988179,0.9999999999978093
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,clarabel,2,4,1.0,true,3.6443264456276765,5.000000000028073,0.999999999955671
ramp_memory--highs,r5-market-983b8245-4a78-4ce0-9e12-176a14540ab1,ramp_memory,highs,1,1,1.0,true,-10.0,5.0,2.0
ramp_memory--highs,r5-market-983b8245-4a78-4ce0-9e12-176a14540ab1,ramp_memory,highs,1,2,1.0,true,50.0,5.0,2.0
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ramp_memory,clarabel,1,1,1.0,true,-10.000000000032648,-5.754336454800931,-4.955346534761023
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ramp_memory,clarabel,1,2,1.0,true,50.000000000008285,-5.844863127947643,-8.372337171111784
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,1,1,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,1,2,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,1,3,1.0,true,20.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,1,4,1.0,true,20.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,2,1,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,2,2,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,2,3,1.0,true,50.0,2.0,1.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,two_bus,highs,2,4,1.0,true,50.0,2.0,1.0
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,1,1,1.0,true,49.99999999978397,2.0000000004765575,0.999999999834946
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,1,2,1.0,true,32.14929531088558,2.0000000004738734,0.9999999998226061
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,1,3,1.0,true,20.0000000003035,2.0000000004546092,0.9999999997955009
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,1,4,1.0,true,20.000000000359616,2.0000000005466174,0.9999999998825916
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,2,1,1.0,true,49.99999999987827,2.0000000004765575,0.999999999834946
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,2,2,1.0,true,49.99999999985177,2.0000000004738734,0.9999999998226061
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,2,3,1.0,true,50.000000000224965,2.0000000004546092,0.9999999997955009
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,two_bus,clarabel,2,4,1.0,true,49.99999999959405,2.0000000005466174,0.9999999998825916
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,wide_line,highs,1,1,1.0,true,50.0,2.0,1.0
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,wide_line,highs,1,2,1.0,true,50.0,2.0,1.0
