method,t,dt_h,P_grid_MW,grid_loss_MW,H_generation_MW,H_demand_and_charge_MW,heat_loss_MW,heat_balance_MW
equipment-fixed-central-socp,1,1.0,32.37651555279808,0.15912860559868866,8.293944464582511,7.883239087260343,0.41070537732049217,1.6761037002765988e-12
equipment-fixed-central-socp,2,1.0,31.021520239958626,0.14656491044776407,8.293932414299716,7.883227036977977,0.41070537732049217,1.2471135235614383e-12
equipment-fixed-central-socp,3,1.0,30.152232125033137,0.13896987174906264,8.799778232100028,8.389072854778274,0.41070537732049217,1.2622125566963405e-12
equipment-fixed-central-socp,4,1.0,29.805030401446555,0.13568759081510837,8.799999007899421,8.38929363057766,0.41070537732049217,1.2693179840539415e-12
equipment-fixed-central-socp,5,1.0,30.49941362751498,0.14231162209265205,8.799999751001277,8.389294373679537,0.41070537732049217,1.2480017019811385e-12
equipment-fixed-central-socp,6,1.0,27.93702471235846,0.16296689399084008,9.014179756171202,8.603474378849464,0.41070537732049217,1.2462253451417382e-12
equipment-fixed-central-socp,7,1.0,33.329368525190155,0.20722745256349365,9.81348818376218,9.402782806440445,0.41070537732049217,1.2426726314629377e-12
equipment-fixed-central-socp,8,1.0,37.98350782728612,0.2601325737950318,10.209637968715622,9.7989325913939,0.41070537732049217,1.230238133587136e-12
equipment-fixed-central-socp,9,1.0,37.51970518086886,0.2923218223926598,9.68213892755761,9.271433550234896,0.41070537732049217,2.2214452499724757e-12
equipment-fixed-central-socp,10,1.0,36.63096244012807,0.30208070739608467,8.887838990184196,8.477133612861776,0.41070537732049217,1.9283463714714344e-12
equipment-fixed-central-socp,11,1.0,35.4045241712001,0.3011793510536773,8.291302774982507,7.88059739765962,0.41070537732049217,2.394640041814e-12
equipment-fixed-central-socp,12,1.0,32.69114536786047,0.27461220788344287,8.092423222534983,7.681717845211938,0.41070537732049217,2.5527358005206224e-12
equipment-fixed-central-socp,13,1.0,32.75698767059437,0.25644676263922356,8.56746422827498,8.15675885095325,0.41070537732049217,1.2391199177841372e-12
equipment-fixed-central-socp,14,1.0,31.93920820269048,0.24184407175544906,8.810600675714086,8.399895298392362,0.41070537732049217,1.2320144904265362e-12
equipment-fixed-central-socp,15,1.0,34.84295790965916,0.26484515894856236,9.010377888438805,8.599672511117081,0.41070537732049217,1.2320144904265362e-12
equipment-fixed-central-socp,16,1.0,39.07739909090032,0.29521873460348946,9.609749913001771,9.19904453568003,0.41070537732049217,1.2480017019811385e-12
equipment-fixed-central-socp,17,1.0,42.77364106320165,0.3272544633718955,10.070877578211446,9.660172200889726,0.41070537732049217,1.2284617767477357e-12
equipment-fixed-central-socp,18,1.0,42.957484759229914,0.3430699420242717,9.880736360975488,9.470030983653054,0.41070537732049217,1.9425572261866364e-12
equipment-fixed-central-socp,19,1.0,41.51442519563703,0.32254111812052044,9.482932186026401,9.072226808704247,0.41070537732049217,1.6618928455613968e-12
equipment-fixed-central-socp,20,1.0,37.90445297854563,0.2849965761685857,8.887506116003786,8.476800738681328,0.41070537732049217,1.9656498650988397e-12
equipment-fixed-central-socp,21,1.0,33.95048172247781,0.2402874456639931,8.489802813909497,8.07909743658731,0.41070537732049217,1.6956436255100016e-12
equipment-fixed-central-socp,22,1.0,38.56145110917761,0.22395487283009993,8.800005253687553,8.389299876365826,0.41070537732049217,1.2355672041053367e-12
equipment-fixed-central-socp,23,1.0,36.57205735617984,0.2022443123134401,9.000237986073857,8.589532608752116,0.41070537732049217,1.2497780588205387e-12
equipment-fixed-central-socp,24,1.0,33.88073597323501,0.1774213250864519,9.246563314181245,8.835857936859492,0.41070537732049217,1.2604361998569402e-12
equipment-fixed-central-exact,1,1.0,32.37643600175015,0.159087525112811,8.2939437688674,7.883238391550605,0.41070537732049217,-3.696487560489459e-12
equipment-fixed-central-exact,2,1.0,31.021844056480226,0.14652989209716066,8.293929976334912,7.8832245716454725,0.41070537732049217,2.7368947219663653e-8
