run_id,parent,band,stage,node,t,mass_balance_min_kg_s,mass_balance_max_kg_s,gap_kg_s,materially_excludes_zero
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,2,1,-21.318476392596324,2.374912383486135,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,3,1,-4.473822541345964,8.998426616485842,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,1,2,-9.542913593292228,1.0284677456444467,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,2,2,-12.284273673058639,10.243977780058549,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,3,2,-5.481940182217157,10.534046887947444,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,1,3,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,2,3,-21.707697439107086,1.5785916924726036,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,3,3,-4.4154479380246805,10.081989741478917,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,1,4,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,2,4,-21.318471604703493,2.3749129285147266,0.0,false
open--fixed--socp--reference20--free_envelope,open--fixed--socp,reference20,free_envelope,3,4,-4.473817803004038,8.99842280565228,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,1,1,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,2,1,-4.400000000126525e-6,-0.015064881818182219,0.015064881818182219,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,1,2,-3.2999999999283602e-6,2.19999999995224e-6,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,2,2,-4.399999999571413e-6,4.400000000237547e-6,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,3,2,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,1,3,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,2,3,-4.39999999990448e-6,-0.015064881818181997,0.015064881818181997,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,3,3,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,1,4,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,2,4,-4.39999999990448e-6,-0.015064881818181775,0.015064881818181775,true
open--fixed--exact--reference10--fixed_envelope,open--fixed--exact,reference10,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,1,1,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,2,1,-2.349294257608707,2.174906951534193,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,3,1,-1.7082338376798374,1.2865626384556696,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,1,2,-0.8926668130592088,0.9141943247791442,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,2,2,-1.7274161873939762,1.5015228561772767,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,3,2,-2.1515880775241683,1.6190783193011962,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,1,3,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,2,3,-1.6455791507958484,1.4680758096326403,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,3,3,-1.7206979739590396,1.2959107409445503,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,1,4,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,2,4,-2.3492942576087614,2.1749071765720247,0.0,false
open--fixed--exact--reference10--free_envelope,open--fixed--exact,reference10,free_envelope,3,4,-1.708232937528235,1.2865619633419279,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,1,1,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,2,1,-4.400000000126525e-6,-0.007530790909091145,0.007530790909091145,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,1,2,-3.2999999999283602e-6,2.19999999995224e-6,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,2,2,-4.399999999571413e-6,4.400000000237547e-6,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,3,2,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,1,3,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,2,3,-4.39999999990448e-6,-0.007530790909090923,0.007530790909090923,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,3,3,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,1,4,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,2,4,-4.39999999990448e-6,-0.007530790909091145,0.007530790909091145,true
open--fixed--exact--reference20--fixed_envelope,open--fixed--exact,reference20,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,1,1,0.007526913875598088,10.000003588516746,0.007526913875598088,true
