actor,resource,dissatisfaction,external,cash,utility,alternative_utility
DSO,18.005904924042753,0.0,91.74003358544104,268.7441340694369,158.9981955599531,158.9981955599531
A,11.179016642768572,2.369345705295397,0.0,-55.27562119696737,-68.82398354503134,-59.09978945917125
B,39.368997715765914,2.3860312125742804,0.0,-213.4685128724695,-255.2235418008097,-264.9477358866698
