t_h,CHP,PV,grid,HP,EB,charge,discharge,energy,Pload,Hload
1.0,0.019853654632556398,0.0,0.5737822338330199,0.1,1.2001806322299747e-9,0.010804224242042405,0.0,0.1102640130299403,0.47876364531622234,0.3202243866807861
2.0,0.2455328069825496,0.26999999999139657,0.0,0.035792473862240666,0.0,0.0,0.1,0.005000855172103677,0.5791914113813905,0.3984167899578578
3.0,0.09600000280757093,0.45,3.987474935527105e-9,0.07058323100546685,0.0,0.0,2.158827054979409e-9,0.005000852899654129,0.47500492695752,0.32334969642558625
4.0,0.01985346725207902,0.08999999998538516,0.5729681810006494,0.1,1.200180632078207e-9,0.0999991022108904,0.0,0.1,0.4787639145984377,0.320224161824218
