run_id,parent,case,policy,electric,band,stage,status,saved,termination,independent_checked,pass,detailed_temperature_pass,parent_model_A1,parent_electric_A1,operating_cost,cost_change,max_mass_change_kg_s,max_normalized_residual,elapsed_sec,input_sha256
open--electric--socp--reference10--fixed_mixing,open--electric--socp,open,electric,socp,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.77107935393246,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--socp--reference10--free_mixing,open--electric--socp,open,electric,socp,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.77107935393246,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--socp--reference20--fixed_envelope,open--electric--socp,open,electric,socp,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.77107935393246,0.0,NaN,NaN,0.05500006675720215,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--socp--reference20--free_envelope,open--electric--socp,open,electric,socp,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.77107935393246,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--socp--reference20--fixed_mixing,open--electric--socp,open,electric,socp,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.77107935393246,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--socp--reference20--free_mixing,open--electric--socp,open,electric,socp,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.77107935393246,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference10--fixed_envelope,open--electric--exact,open,electric,exact,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710726613877,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference10--free_envelope,open--electric--exact,open,electric,exact,reference10,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710726613877,0.0,NaN,NaN,0.05499982833862305,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference10--fixed_mixing,open--electric--exact,open,electric,exact,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710726613877,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference10--free_mixing,open--electric--exact,open,electric,exact,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710726613877,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference20--fixed_envelope,open--electric--exact,open,electric,exact,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710726613877,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference20--free_envelope,open--electric--exact,open,electric,exact,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710726613877,0.0,NaN,NaN,0.05500006675720215,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference20--fixed_mixing,open--electric--exact,open,electric,exact,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710726613877,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--electric--exact--reference20--free_mixing,open--electric--exact,open,electric,exact,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710726613877,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference10--fixed_envelope,open--heat--socp,open,heat,socp,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.86479228769474,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference10--free_envelope,open--heat--socp,open,heat,socp,reference10,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.86479228769474,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
