run_id,parent,band,stage,equation,entity,t,residual,tolerance,normalized,unit,pass
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,pipe_mass,1,1,0.0,1.1e-5,0.0,kg/s,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,frozen_loss,1,1,2.927345865710862e-18,3.0e-6,9.75781955236954e-13,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,fixed_mass_pipe,1,1,3.590279706866539e-8,1.1e-5,0.0032638906426059448,kg/s,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,R4-HC1_H_in,1,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,R4-HC1_H_out,1,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,loss_mass_envelope,1,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,loss_mass_envelope,1,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,pipe_mass,2,1,0.0,1.1e-5,0.0,kg/s,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,frozen_loss,2,1,2.927345865710862e-18,3.0e-6,9.75781955236954e-13,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,fixed_mass_pipe,2,1,4.212317130658505e-7,1.1e-5,0.0382937920968955,kg/s,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,R4-HC1_H_in,2,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,R4-HC1_H_out,2,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,loss_mass_envelope,2,1,0.0,3.0e-6,0.0,MW,true
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,reference20,fixed_envelope,loss_mass_envelope,2,1,0.0,3.0e-6,0.0,MW,true
