run_id,parent,band,stage,variable,entity,t,value,old_value,unit
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,1,1,0.3318263879266004,0.35554146901955064,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,1,2,0.9164535824757247,0.9459327600545976,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,1,3,0.34770556958562054,0.3576154623719974,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,1,4,0.3318262508251918,0.35251929682753635,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,2,1,0.8664547888527777,1.1016098765797726,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,2,2,1.0713997516987344,1.2764765561682028,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,2,3,0.8862421879889424,1.0266864685973567,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,2,4,0.8664821302101446,1.0998621472381649,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,3,1,1.4353033514366271,1.737040245520083,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,3,2,1.4005554641757434,1.7250825537612478,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,3,3,1.4338070767026225,1.749249623527187,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_source,3,4,1.435303414107791,1.7423681968632407,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,1,1,2.1842683384126708e-6,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,1,2,1.8336594449474072e-6,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,1,3,2.1301845165874213e-6,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,1,4,2.184267708732924e-6,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,2,1,0.8579768017744558,1.0172695015003206,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,2,2,1.0292277410175004,1.3244372944693057,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,2,3,0.8761453604137449,0.989363448504841,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,2,4,0.8580040016678052,1.0175912165123002,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,3,1,1.775605542173211,2.1769220896190857,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,3,2,2.359179223673257,2.6230545755147423,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,3,3,1.791607343678924,2.1441881059917,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_load,3,4,1.7756056092076136,2.1771584244166418,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,1,1,0.3318242036582715,0.35554146901955064,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,1,2,0.9164517488163082,0.9459327600545976,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,1,3,0.3477034394010931,0.3576154623719974,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,1,4,0.3318240665574925,0.35251929682753635,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,2,1,0.34030219073673595,0.4398818440990027,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,2,2,0.9586237594975893,0.8979720217534946,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,2,3,0.35780026697644757,0.394938482464513,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,2,4,0.3403021950999747,0.434790227553401,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,3,1,2.4517477378361137e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,3,2,1.193067459510858e-13,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,3,3,1.706941991703258e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,3,4,2.4516703740884742e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,4,1,2.0485170887442166e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,4,2,8.538524687953567e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,4,3,6.138302504877489e-15,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,4,4,2.0485323692727604e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,5,1,1.6319750685020673e-13,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,5,2,1.3228947629341037e-13,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,5,3,1.6313745885042365e-13,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,5,4,1.6319821041669812e-13,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,6,1,1.3458470856544667e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,6,2,6.247076953965341e-14,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,6,3,1.4374321700231188e-16,0.0,kg/s
import--fixed--socp--reference10--free_envelope,import--fixed--socp,reference10,free_envelope,m_pipe,6,4,1.3458110987126774e-14,0.0,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,1,1,0.39872859687303985,0.35554146901955064,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,1,2,0.567656807042325,0.9459327600545976,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,1,3,0.18475256571986537,0.3576154623719974,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,1,4,0.25555193107496543,0.35251929682753635,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,2,1,1.2143711746683803,1.1016098765797726,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,2,2,0.7035232072893776,1.2764765561682028,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,2,3,0.6732538804479821,1.0266864685973567,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,2,4,0.8271268249599859,1.0998621472381649,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,3,1,1.5882030092341606,1.737040245520083,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,3,2,1.1270397891549644,1.7250825537612478,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,3,3,1.0733244593666416,1.749249623527187,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,m_source,3,4,1.4302812322857021,1.7423681968632407,kg/s
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,1,1,343.15,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,1,2,357.3418785354545,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,1,3,349.7798119081382,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,1,4,349.398196269727,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,2,1,343.1529914083957,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,2,2,359.2728672744585,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,2,3,343.15,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,2,4,347.970701284627,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,3,1,343.15,NaN,K
import--fixed--socp--reference10--free_mixing,import--fixed--socp,reference10,free_mixing,τ_S_out,3,2,343.15,NaN,K
