id,mode,physical_model,status,model_pass,physical_pass,terminal_pass,cost_CNY,bound_CNY,gap,elapsed_sec,wall_budget_pass
cf_ct_socp,CF_CT,false,solver_optimal,true,false,true,504129.2546843049,504129.20860004425,9.14135813345909e-8,15.395849099964835,true
cf_vt_socp,CF_VT,false,solver_optimal,true,false,true,499383.33626439475,,,7.22894499998074,true
cf_ct_original,CF_CT,true,infeasible_certified,false,false,false,,,,5.352998599992134,true
cf_vt_original,CF_VT,true,infeasible_certified,false,false,false,,,,5.201871900004335,true
