record_id,run_id,scenario,t,dt_h,P_actual_MW,request_MW,delivered_MW,mismatch_MW,building_1_K,heat_1_MW
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,up,2,1.0,0.005485787021098401,0.07999999999957244,0.07999999999957262,1.8041124150158794e-16,294.14999999996337,0.05223917280892777
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,up,3,1.0,7.65848512356805e-14,6.410325032336376e-14,6.360094359848906e-14,5.023067248747051e-16,294.14999999996047,0.03299999999980354
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,up,4,1.0,0.02752197050090439,5.822294811214443e-13,5.810352199375757e-13,1.194261183868661e-15,293.15,0.007000000000771992
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,down,1,1.0,0.12000000000000483,-1.5568623283395986e-13,-1.5563939026463913e-13,4.6842569320723824e-17,292.5524992213373,0.016257482090693772
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,down,2,1.0,0.08548578702083222,-1.6119471106300134e-13,-1.6119050538776492e-13,4.2056752364288245e-18,292.3386635681567,0.026289277640820286
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,down,3,1.0,2.341561131189426e-13,-9.477938907270789e-14,-9.397031828477304e-14,8.0907078793484755e-16,292.7610151408044,0.037280076875332475
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,down,4,1.0,0.02752197050502749,-3.542513466969802e-12,-3.5420624766580033e-12,4.5099031179877385e-16,293.15,0.0347796971838756
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,none,1,1.0,0.108,0.0,0.0,0.0,294.03518581497156,0.05035927374434657
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,none,2,1.0,0.09000000000000002,0.0,0.0,0.0,292.6075321475037,0.0028195230931546966
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,none,3,1.0,-0.0,0.0,0.0,0.0,293.7585396227336,0.05484576837279742
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,none,4,1.0,0.04766814296720215,0.0,0.0,0.0,293.15,0.014829207545326427
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,up,1,1.0,0.108,0.0,0.0,0.0,294.15,0.05599999999999909
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,up,2,1.0,0.010000000000000023,0.08,0.08,0.0,294.15,0.03899999999999863
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,up,3,1.0,-0.0,0.0,0.0,0.0,294.15,0.03599999999999909
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,up,4,1.0,0.04766814296720215,0.0,0.0,0.0,293.15,0.01
