record_id,run_id,scenario,probability,model_pass,kkt_pass,recourse_cost,device_cost,real_time_settlement,penalty,mismatch_MWh,mismatch_limit_MWh
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,none,0.5,true,true,8.060000000046184,8.060000000045699,-4.218847493575595e-14,5.273559366969494e-13,5.273559366969494e-16,0.0
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,up,0.25,true,true,12.060000000028264,18.459999999999038,-6.399999999971301,5.273559366969494e-13,5.273559366969494e-16,0.0
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,down,0.25,true,true,4.9600000000307585,3.547824270274432e-13,4.960000000027913,2.491062911502695e-12,2.491062911502695e-15,0.0
no_call_only--highs,r5-commitment-5169a5be-40d7-4566-97d2-076fcbe63bf3,none,1.0,true,true,0.0,0.0,-0.0,0.0,0.0,0.0
no_call_only--clarabel,r5-commitment-7cee245e-90a2-4c4e-a77a-55e58202a2fb,none,1.0,true,true,4.2163161850794495e-11,4.203542504085597e-11,-1.1102230246251565e-14,1.3877787807814457e-13,1.3877787807814457e-16,0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,none,0.5,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,up,0.25,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,down,0.25,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,none,0.5,true,true,8.553691088764026e-11,6.917039874813318e-11,1.212363542890671e-12,1.5154544286133387e-11,1.5154544286133387e-14,0.0
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,up,0.25,true,true,1.1165646185418154e-10,8.665285158806728e-11,-3.0531133177191805e-12,2.8057942560774313e-11,2.8057942560774312e-14,0.0
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,down,0.25,true,true,8.713563204310049e-11,7.065932997610249e-11,1.6675549829869851e-12,1.4808569095654474e-11,1.4808569095654475e-14,0.0
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,none,0.5,true,true,2.0150000000000015,2.0150000000000015,-0.0,0.0,0.0,0.0
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,up,0.25,true,true,3.0150000000000015,4.615000000000001,-1.6,0.0,0.0,0.0
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,down,0.25,true,true,1.2400000000000009,0.0,1.2400000000000009,0.0,0.0,0.0
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,none,0.5,true,true,2.0150000000102133,2.0150000000101143,-8.604228440844963e-15,1.0755285551056204e-13,1.0755285551056204e-16,0.0
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,up,0.25,true,true,3.015000000006263,4.614999999999651,-1.5999999999935683,1.8041124150158794e-13,1.8041124150158794e-16,0.0
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,down,0.25,true,true,1.2400000000068845,1.3738673460423727e-13,1.2400000000061313,6.158268339717665e-13,6.158268339717665e-16,0.0
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,none,0.2,true,true,10.4,10.4,-0.0,0.0,0.0,0.0
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,up,0.6,true,true,13.5,18.460000000000004,-4.9600000000000035,0.0,0.0,0.0
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,down,0.2,true,true,6.4,0.0,6.4,0.0,0.0,0.0
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,none,0.2,true,true,10.399999999968571,10.399999999966976,-1.3877787807814457e-13,1.734723475976807e-12,1.734723475976807e-15,0.0
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,up,0.6,true,true,13.499999999978613,18.459999999997365,-4.960000000018795,4.163336342344337e-14,4.163336342344337e-17,0.0
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,down,0.2,true,true,6.399999999982777,1.7037903346165018e-12,6.399999999978478,2.5951463200613034e-12,2.5951463200613034e-15,0.0
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,none,0.5,true,true,8.060000000000006,8.060000000000006,-0.0,0.0,0.0,0.0
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,up,0.25,true,true,12.060000000000006,18.460000000000004,-6.4,0.0,0.0,0.0
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,down,0.25,true,true,4.9600000000000035,0.0,4.9600000000000035,0.0,0.0,0.0
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,none,0.5,true,true,13.170332257525821,13.170332257525821,-0.0,0.0,0.0,0.008
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,up,0.25,true,true,12.651853566746325,22.251853566746327,-9.6,0.0,0.0,0.008
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,down,0.25,true,true,13.170332257525821,13.170332257525821,-0.0,0.0,0.0,0.008
