equation,scope,entity,t,residual,unit,tolerance,pass
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-24-order,model,1,2,0.0,normalized,1.0e-6,true
3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,1,3,1.6653345369377348e-16,MW,3.0e-6,true
3-17-original,physics,1,3,1.6653345369377348e-16,MW,3.0e-6,true
3-19:20,model,1,3,6.757233661502937e-12,MW,3.0e-6,true
3-37,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-24-order,model,1,3,0.0,normalized,1.0e-6,true
3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,1,4,8.326672684688674e-17,MW,3.0e-6,true
3-17-original,physics,1,4,8.326672684688674e-17,MW,3.0e-6,true
3-19:20,model,1,4,2.2307544700339577e-11,MW,3.0e-6,true
3-37,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-24-order,model,1,4,0.0,normalized,1.0e-6,true
3-21,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,1,0.0,MW,3.0e-6,true
3-17-original,physics,2,1,0.0,MW,3.0e-6,true
3-19:20,model,2,1,0.0,MW,3.0e-6,true
3-38,model,2,1,0.0,K,0.0001,true
R2-load-return,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-24-order,model,2,1,0.0,normalized,1.0e-6,true
3-21,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,2,0.0,MW,3.0e-6,true
3-17-original,physics,2,2,0.0,MW,3.0e-6,true
3-19:20,model,2,2,0.0,MW,3.0e-6,true
3-38,model,2,2,0.0,K,0.0001,true
R2-load-return,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-24-order,model,2,2,0.0,normalized,1.0e-6,true
3-21,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
