record_id,run_id,t,P_DA_MW,R_up_MW,R_down_MW
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,1,0.08,0.08,0.06200000000000004
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,1,0.07999999999998987,0.07999999999998907,0.062000000000010325
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,1,0.08,0.08,0.062
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,1,0.08,0.07999999999999986,0.061999999999999895
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,1,0.12,-0.0,-0.0
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,2,0.09144075269415777,0.08,-0.0
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,3,-0.0,-0.0,-0.0
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,4,0.028609501514944763,-0.0,-0.0
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,1,0.11999999999984919,2.848457455990901e-13,1.5568623283395986e-13
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,2,0.08548578702067103,0.07999999999957244,1.6119471106300134e-13
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,3,1.4018579483416956e-13,6.410325032336376e-14,9.477938907270789e-14
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,4,0.027521970501485426,5.822294811214443e-13,3.542513466969802e-12
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,1,0.108,-0.0,-0.0
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,2,0.09000000000000002,0.08,-0.0
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,3,-0.0,-0.0,-0.0
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,4,0.04766814296720215,-0.0,-0.0
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,1,0.10800000000008236,2.513222799427406e-14,8.447841500987673e-15
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,2,0.0833554856334936,0.07999999999994695,2.171822872709589e-14
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,3,2.144383188294726e-14,9.795485873034204e-15,1.3350326017556864e-14
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,4,0.04472554056280968,4.6303437209456166e-14,2.588078533971518e-13
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,1,0.08,0.08,0.06200000000000004
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,1,0.07999999999964832,0.07999999999964179,0.062000000000351406
no_call_only--highs,r5-commitment-5169a5be-40d7-4566-97d2-076fcbe63bf3,1,0.14200000000000004,0.08,0.08
no_call_only--clarabel,r5-commitment-7cee245e-90a2-4c4e-a77a-55e58202a2fb,1,0.14199999999967602,0.0800000000000006,0.07999999999997821
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,1,0.14200000000000004,-0.0,-0.0
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,1,0.14199999999941956,1.0105973910715444e-14,6.035868191682839e-15
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,1,0.08,0.08,0.06200000000000004
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,1,0.07999999999968935,0.07999999999967913,0.06200000000030902
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,1,0.06200000000000004,0.06200000000000004,0.08
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,1,0.06200000000025507,0.06200000000023489,0.07999999999973358
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,1,0.08,0.08,0.06200000000000004
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,1,0.12,0.0,0.0
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,2,0.09144075269415755,0.08,0.0
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,3,0.0,0.0,0.0
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,4,0.01999999999999999,0.0,0.0
