record_id,run_id,phase,iteration,scope,count,failures,worst_id,normalized,pass
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,1,cost/up,1028,0,5-25-26-S/h12/2,4.616854620266572e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,1,cost/up/physical,195,0,5-25-26-S,2.8421709430404007e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,2,master,1,0,master/total,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,2,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,2,master/market/selected_market,254,0,5-37,1.850371707708594e-11,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,2,master/risk_master,47,0,cost/rows,1.5537201152478745e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,diagnostic,2,diagnostic/down,2817,0,5-25-26-S/h12/2,3.5760725558893296e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,diagnostic,2,diagnostic/none,2817,0,5-21/2/2,1.4099818641636638e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,diagnostic,2,diagnostic/up,2817,0,5-21/2/2,4.229945592490992e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,3,master,1,0,master/total,2.3829727950838886e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,3,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,3,master/market/selected_market,254,0,R5-MK_bounds,4.625929269271485e-12,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,3,master/risk_master,50,0,master/objective,3.04506372210144e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,3,cost/none,1028,0,5-19/building/4,1.1196109625461056e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,3,cost/none/physical,195,0,building-energy,8.638922910364499e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,3,cost/up,1028,0,5-25-26-S/h12/2,4.616854620266572e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,3,cost/up/physical,195,0,5-5-cost,3.637649221331293e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,diagnostic,3,diagnostic/down,2817,0,5-25-26-S/h12/3,4.563145782572738e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,4,master,1,0,master/total,2.5016215223343414e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,4,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,4,master/market/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,4,master/risk_master,53,0,cut/8,3.627146966274526e-7,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate,26,0,down_bid/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy,38,0,z-binary,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/scenarios/down/validation,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/scenarios/none/validation,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/scenarios/up/validation,195,0,5-5-cost,1.2975440193034828e-7,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/transport_checks/cost,6,0,dual-inequality,2.0965883470575827e-11,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/risk_policy/transport_checks/risk,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,4,candidate/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/down,1028,0,5-25-26-S/h12/3,1.1801775614178354e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/down/physical,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/none,1028,0,R5-D-building/building/1,1.1286910108426059e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/none/physical,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/up,1028,0,5-25-26-S/h12/2,4.616854620266572e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,4,cost/up/physical,195,0,5-5-cost,1.2975440193034828e-7,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,5,master,1,0,master/total,1.2679047953250102e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,5,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,5,master/market/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,5,master/risk_master,55,0,master/objective,1.7745511876377816e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate,26,0,down_bid/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy,38,0,z-binary,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/scenarios/down/validation,195,0,5-5-cost,9.073243297205612e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/scenarios/none/validation,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/scenarios/up/validation,195,0,5-5-cost,3.6276293316294485e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/transport_checks/cost,6,0,primal-dual-gap,1.6618072908899873e-12,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/risk_policy/transport_checks/risk,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,5,candidate/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/down,1028,0,5-21/2/2,8.048055905537026e-9,true
