row,rhs,reference_residual
1,30.0,0.0
2,29.56025463432089,-2.1316282072803006e-14
3,30.0,0.0
4,28.9750013418002,-3.552713678800501e-15
5,29.918422155573055,-3.552713678800501e-15
6,29.050505020842756,-2.1316282072803006e-14
7,29.76307279045832,8.881784197001252e-14
8,28.998712355522684,3.907985046680551e-14
9,29.57244731729829,6.394884621840902e-14
10,29.138969095312575,3.907985046680551e-14
11,29.57244731729829,6.394884621840902e-14
12,29.138969095312575,3.907985046680551e-14
13,29.918422155573055,-3.552713678800501e-15
14,28.97471678698347,3.552713678800501e-14
15,29.786120681203872,1.4210854715202004e-14
16,28.922041540200524,4.973799150320701e-14
17,29.631458282465267,7.460698725481052e-14
18,28.87047790587514,2.842170943040401e-14
19,29.44167576923874,7.460698725481052e-14
20,29.010114419993748,5.3290705182007514e-14
21,29.44167576923874,7.460698725481052e-14
22,29.010114419993748,5.3290705182007514e-14
23,30.0,0.0
24,28.7869708844254,4.618527782440651e-14
25,29.950864769149607,8.881784197001252e-14
26,28.900022311541896,4.973799150320701e-14
27,29.855820959837562,6.750155989720952e-14
28,28.864039271033967,-3.197442310920451e-14
29,29.75180606130462,9.237055564881302e-14
30,28.82804341731977,2.842170943040401e-14
31,29.636252980286798,1.1723955140041653e-13
32,28.95230867354492,1.5276668818842154e-13
33,29.379806831764785,1.3855583347321954e-13
34,28.949152368470926,1.1013412404281553e-13
35,29.636252980286798,1.1723955140041653e-13
36,28.827448340486846,4.973799150320701e-14
37,29.446439758149655,1.4921397450962104e-13
38,28.766875953649887,9.237055564881302e-14
39,29.19163608682569,1.6342482922482304e-13
40,28.763739863966656,9.237055564881302e-14
41,29.950864769149607,8.881784197001252e-14
42,28.74614778477084,9.237055564881302e-14
43,29.880027213602666,1.7763568394002505e-13
44,28.717466782477572,1.2079226507921703e-13
45,29.80514464324225,1.7763568394002505e-13
46,28.688131324917897,1.3855583347321954e-13
47,29.725542777814653,1.4921397450962104e-13
48,28.658301927572822,7.815970093361102e-14
49,29.640349211641865,1.5276668818842154e-13
50,29.20587567154417,1.5987211554602254e-13
51,29.640349211641865,1.5276668818842154e-13
52,28.603778697163065,1.4210854715202004e-13
53,29.695999934314496,1.0302869668521453e-13
54,28.71496717468561,1.0658141036401503e-13
55,29.580663598791016,1.5987211554602254e-13
56,28.668602569636896,7.815970093361102e-14
57,29.44985571772738,1.4210854715202004e-13
58,28.62190657908498,9.947598300641403e-14
59,29.296939351861674,1.1723955140041653e-13
60,28.867499574909523,1.3855583347321954e-13
61,29.296939351861674,1.1723955140041653e-13
62,28.620825711989724,1.4566126083082054e-13
63,29.043429325973253,1.4566126083082054e-13
64,28.617705544322398,1.3145040611561853e-13
65,29.695999934314496,1.0302869668521453e-13
66,28.731235492549075,5.3290705182007514e-14
67,29.564682027449408,8.171241461241152e-14
68,28.67174996366728,1.4210854715202004e-13
69,29.411169433807338,7.105427357601002e-14
70,28.60850756167951,1.7408297026122455e-13
71,29.222797818786827,1.2079226507921703e-13
72,28.548395214364362,1.7053025658242404e-13
73,28.969929348719123,1.1368683772161603e-13
74,28.54528294288076,1.1368683772161603e-13
