run_id,pipe,side,net_MWh,attenuation_MWh,memory_change_MWh,residual_MWh
cf_ct,1,S,0.11304387533724902,0.11304387533724927,0.0,-2.498001805406602e-16
cf_ct,1,R,0.05139117623947465,0.05139117623947603,0.0,-1.3808398868775384e-15
cf_ct,2,S,0.20970944540683595,0.20970944540683137,0.0,4.579669976578771e-15
cf_ct,2,R,0.09302100397432146,0.0930210039743055,0.0,1.5959455978986625e-14
cf_ct,3,S,0.1597405738352266,0.15974057383522755,0.0,-9.43689570931383e-16
cf_ct,3,R,0.0711238492984981,0.0711238492985036,0.0,-5.495603971894525e-15
cf_ct,4,S,0.14701036490102476,0.1470103649010234,0.0,1.3600232051658168e-15
cf_ct,4,R,0.06535965071638745,0.06535965071638265,0.0,4.801714581503802e-15
cf_ct,5,S,0.11143280159847009,0.11143280159847031,0.0,-2.220446049250313e-16
cf_ct,5,R,0.049803717907706324,0.04980371790770793,0.0,-1.6028844918025698e-15
cf_ct,6,S,0.11143280159847009,0.11143280159847031,0.0,-2.220446049250313e-16
cf_ct,6,R,0.04980371790770655,0.04980371790770815,0.0,-1.5959455978986625e-15
cf_ct,7,S,0.1700514950558361,0.17005149505583497,0.0,1.1379786002407855e-15
cf_ct,7,R,0.07543661011986269,0.07543661011985356,0.0,9.131584377541913e-15
cf_ct,8,S,0.15903418920961612,0.15903418920962614,0.0,-1.0019762797242038e-14
cf_ct,8,R,0.07043795650615019,0.07043795650616022,0.0,-1.0033640585049852e-14
cf_ct,9,S,0.14636027420028405,0.14636027420028405,1.1416053287878945e-16,-1.1416053287878945e-16
cf_ct,9,R,0.06472625532175258,0.06472625532174915,0.0,3.427813588530171e-15
cf_ct,10,S,0.110940037512586,0.1109400375125867,0.0,-6.938893903907228e-16
cf_ct,10,R,0.04931817684592779,0.04931817684592917,0.0,-1.3808398868775384e-15
cf_ct,11,S,0.110940037512586,0.1109400375125867,0.0,-6.938893903907228e-16
cf_ct,11,R,0.04931817684592734,0.04931817684592917,0.0,-1.8318679906315083e-15
cf_ct,12,S,0.2686059286483669,0.2686059286483669,0.0,0.0
cf_ct,12,R,0.11812353919792559,0.11812353919794986,0.0,-2.4272250875867485e-14
cf_ct,13,S,0.19546076197721843,0.1954607619772202,0.0,-1.7763568394002505e-15
cf_ct,13,R,0.0863804263422182,0.08638042634222734,0.0,-9.145462165349727e-15
cf_ct,14,S,0.18717134274672964,0.18717134274671046,0.0,1.917910275039958e-14
cf_ct,14,R,0.08264346040016927,0.08264346040015648,0.0,1.2795320358804929e-14
cf_ct,15,S,0.17822907216182016,0.17822907216181882,0.0,1.3322676295501878e-15
cf_ct,15,R,0.07862921380966269,0.07862921380965311,0.0,9.575673587391975e-15
cf_ct,16,S,0.13184751316011892,0.13184751316012075,0.0,-1.8318679906315083e-15
cf_ct,16,R,0.05848971318748357,0.058489713187486754,0.0,-3.184952301893418e-15
cf_ct,17,S,0.11070690736408449,0.11070690736408699,0.0,-2.4980018054066022e-15
cf_ct,17,R,0.04908846396083903,0.049088463960840635,0.0,-1.6028844918025698e-15
cf_ct,18,S,0.14638395691214443,0.14638395691213754,0.0,6.8833827526759706e-15
cf_ct,18,R,0.06457981003184986,0.06457981003184711,0.0,2.7478019859472624e-15
cf_ct,19,S,0.1310030608833535,0.1310030608833549,0.0,-1.3877787807814457e-15
cf_ct,19,R,0.05766474914790015,0.05766474914790107,0.0,-9.159339953157541e-16
cf_ct,20,S,0.10999785568965272,0.10999785568965387,0.0,-1.1518563880486e-15
cf_ct,20,R,0.0483898056926685,0.048389805692670096,0.0,-1.5959455978986625e-15
