run_id,t,flow_1_kg_s,source_1_K,source_2_K,source_heat_MW,grid_MW,pv_MW
cf_ct,1,0.9563492063492064,363.15,363.15,6.1453488431870635,21.770796527344395,0.0
cf_ct,2,0.9563492063492064,363.15,363.15,6.1374032435923525,20.53572180731121,0.0
cf_ct,3,0.9563492063492064,363.15,363.15,6.068692857800868,19.771667476021054,0.0
cf_ct,4,0.9563492063492064,363.15,363.15,5.953385313636327,19.46941567544756,0.0
cf_ct,5,0.9563492063492064,363.15,363.15,6.019919294329166,20.242515365059415,0.0
cf_ct,6,0.9563492063492064,363.15,363.15,6.35871340181988,20.50506773863689,0.0
cf_ct,7,0.9563492063492064,363.15,363.15,6.849523059211154,23.57700209058308,0.6
cf_ct,8,0.9563492063492064,363.15,363.15,7.261838484907295,25.92976786108528,2.4
cf_ct,9,0.9563492063492064,363.15,363.15,7.326303502039965,26.766751945691627,4.8
cf_ct,10,0.9563492063492064,363.15,363.15,7.0302243591001,25.697192030780684,7.8
cf_ct,11,0.9563492063492064,363.15,363.15,6.6176237833636025,24.53033418275815,10.2
cf_ct,12,0.9563492063492064,363.15,363.15,6.322761388054661,21.844855520865565,11.519999999968517
cf_ct,13,0.9563492063492064,363.15,363.15,6.125277854871895,19.07214649492756,12.0
cf_ct,14,0.9563492063492064,363.15,363.15,5.96765936906576,18.584572289862933,11.4
cf_ct,15,0.9563492063492064,363.15,363.15,5.956042487186002,21.652873350409394,9.6
cf_ct,16,0.9563492063492064,363.15,363.15,6.177389951603858,25.514836496824955,7.2
cf_ct,17,0.9563492063492064,363.15,363.15,6.600577702292333,29.781214788874895,4.2
cf_ct,18,0.9563492063492064,363.15,363.15,7.05482709697479,32.937370448698736,1.4399999999686726
cf_ct,19,0.9563492063492064,363.15,363.15,7.160143802972594,32.590511456005416,0.0
cf_ct,20,0.9563492063492064,363.15,363.15,6.948316271284511,30.278837649548436,0.0
cf_ct,21,0.9563492063492064,363.15,363.15,6.6561314491116335,27.23231039106225,0.0
cf_ct,22,0.9563492063492064,363.15,363.15,6.429826320766757,26.872204341168633,0.0
cf_ct,23,0.9563492063492064,363.15,363.15,6.25750861138928,24.97066174019152,0.0
