stage,run_id,time_h,device,kind,P_MW,H_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,EB2,EB,0.4350472137499834,0.4045939087874846
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,EB2,EB,0.4450457690773148,0.41389256524190277
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.25,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,EB2,EB,0.45860598672708114,0.42650356765618547
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.5,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,EB2,EB,0.4738847315379916,0.4407128003303322
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,2.75,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,EB2,EB,0.48817084966578544,0.4539988901891805
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,EB1,EB,0.6168922176332667,0.5675408402226054
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,EB2,EB,0.49883517681371725,0.4639167144367571
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.25,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,EB1,EB,0.3931848444677368,0.3617300569103179
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,EB2,EB,0.5079085017567802,0.4723549066338055
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.5,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,EB1,EB,0.13959907649098977,0.1284311503717106
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,EB2,EB,0.5165242221755797,0.4803675266232892
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,3.75,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,EB1,EB,0.9492966417008629,0.8733529103647939
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,EB2,EB,0.5632857886179545,0.5238557834146977
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,EB1,EB,0.6855702938752102,0.6307246703651934
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,EB2,EB,0.5380557230068057,0.5003918223963293
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.25,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,EB1,EB,0.31492583219623627,0.2897317656205374
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,EB2,EB,0.7073145823975586,0.6578025616297296
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.5,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,CHP2,CHP,4.5,5.4
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,EB2,EB,1.051701142148672,0.9780820621982649
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,4.75,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,EB2,EB,0.5808889366366633,0.5402267110720969
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,EB2,EB,0.5918431514817261,0.5504141308780053
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,PV2,PV,0.0,0.0
