run_id,iteration,stage,equation,scope,entity,t,residual,unit,tolerance,pass
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-10,model,2,4,4.371503159461554e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-13,model,2,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-11,model,1,1,1.0272815584300155e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-12,model,1,1,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,pre-SOC-electric,physics,1,1,2.3900510529275234,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-14,model,1,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-11,model,1,2,7.860465750519907e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-12,model,1,2,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,pre-SOC-electric,physics,1,2,2.3997331729928195,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-14,model,1,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-11,model,1,3,1.666960840196463e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-12,model,1,3,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,pre-SOC-electric,physics,1,3,2.39139356719128,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-14,model,1,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-11,model,1,4,1.0476103491641187e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-12,model,1,4,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,pre-SOC-electric,physics,1,4,2.3984966983773788,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-14,model,1,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,1,1,1.1102230246251565e-16,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,1,1,1.2495560142156137e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,1,1,1.2495560142156137e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,1,1,5.551115123125783e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-37,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,1,2,2.220446049250313e-16,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,1,2,6.877831637552845e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,1,2,6.877831637552845e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,1,2,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-37,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,2,0.0,K,0.0001,true
