run_id,iteration,mode,cost,diagnostic,step,projected_gradient,accepted,smooth,active_changed,elapsed_sec
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,diagnostic,,0.0021278183145210477,0.5,0.17448696401749608,true,true,false,22.842188000009628
r3-pg-20260917T071031-7eafbab9/single-source-schpd,2,dispatch,80.98155518474674,,1.0,0.008600126730879953,true,true,true,28.5162387000164
r3-pg-20260917T071031-7eafbab9/single-source-schpd,3,dispatch,80.76839966036471,,1.0,0.008904835315264759,true,true,false,28.57190320000518
r3-pg-20260917T071031-7eafbab9/single-source-schpd,4,dispatch,80.54844357860631,,1.0,0.009234231554708483,true,true,false,28.623146700003417
r3-pg-20260917T071031-7eafbab9/single-source-schpd,5,dispatch,80.32056676074758,,1.0,0.009591558889426643,true,true,false,28.67703980000806
r3-pg-20260917T071031-7eafbab9/single-source-schpd,6,dispatch,80.0834628393965,,1.0,0.009981084661256467,true,true,false,28.731448000005912
r3-pg-20260917T071031-7eafbab9/single-source-schpd,7,dispatch,79.83558751672741,,1.0,0.010407960332110111,true,true,false,28.79041970000253
r3-pg-20260917T071031-7eafbab9/single-source-schpd,8,dispatch,79.57509476446637,,1.0,0.010878482271726941,true,true,false,28.846359100018162
r3-pg-20260917T071031-7eafbab9/single-source-schpd,9,dispatch,79.29975137496129,,1.0,0.01140045625780406,true,true,false,28.898606300004758
r3-pg-20260917T071031-7eafbab9/single-source-schpd,10,dispatch,79.00682410557404,,1.0,0.01198355086272862,true,true,false,28.954411300015636
r3-pg-20260917T071031-7eafbab9/single-source-schpd,11,dispatch,78.69291061912989,,1.0,0.012640235614814532,true,true,false,29.010246000019833
r3-pg-20260917T071031-7eafbab9/single-source-schpd,12,dispatch,78.35371586996516,,0.03125,0.013386564299482817,true,true,false,29.062707100005355
r3-pg-20260917T071031-7eafbab9/single-source-schpd,13,dispatch,78.34241307998533,,0.015625,0.013412286215182756,true,true,false,29.30663310000091
r3-pg-20260917T071031-7eafbab9/single-source-schpd,14,dispatch,78.33674633842645,,0.001953125,0.013420491840107407,true,true,false,29.508851899998263
r3-pg-20260917T071031-7eafbab9/single-source-schpd,15,dispatch,78.33603863203936,,0.0009765625,0.013426354601567159,true,true,false,29.78295930000604
r3-pg-20260917T071031-7eafbab9/single-source-schpd,16,dispatch,78.33568355354657,,0.00048828125,0.013413879492622294,true,true,false,30.125458399998024
r3-pg-20260917T071031-7eafbab9/single-source-schpd,17,dispatch,78.33546385619212,,,,false,false,false,30.44870800001081
