probe,termination,solver_version,reported,evaluated,difference,report_pass,original_gate_status_pass,reported_bound,barrier_iterations
default,OPTIMAL,13.0.3,14.398767689011876,14.398767537896175,1.5111570128567564e-7,false,true,14.395255221835054,12
precision,LOCALLY_SOLVED,13.0.3,14.398766717153777,14.398766716398963,7.548131009116332e-10,true,false,14.398766715527385,51
