run_id,stage,ratio,threshold
open_flexible--penalty-100,elastic_model,0.018511181549732896,1.0
open_flexible--penalty-10000,elastic_model,0.011226815019915432,1.0
open_fixed--penalty-100,elastic_model,0.004249294620731517,1.0
open_fixed--penalty-10000,elastic_model,0.0027832006167148727,1.0
import_flexible--penalty-100,elastic_model,0.008591935384853531,1.0
import_flexible--penalty-10000,elastic_model,0.004891275272990212,1.0
import_fixed--penalty-100,elastic_model,0.004297721727108394,1.0
import_fixed--penalty-10000,elastic_model,0.0026327134139107603,1.0
open_flexible--penalty-100,elastic_original,70000.2180480944,1.0
open_flexible--penalty-10000,elastic_original,0.011226815019915432,1.0
open_fixed--penalty-100,elastic_original,50035.15017155308,1.0
open_fixed--penalty-10000,elastic_original,9399.99999999999,1.0
import_flexible--penalty-100,elastic_original,53346.6515410535,1.0
import_flexible--penalty-10000,elastic_original,0.004891275272990212,1.0
import_fixed--penalty-100,elastic_original,50011.97430231622,1.0
import_fixed--penalty-10000,elastic_original,0.0026327134139107603,1.0
