id,version,branch,iteration,value
single-delay-switch,v2,dispatch,8,80.25174199587593
single-delay-switch,v2,dispatch,9,80.24624228953368
single-delay-switch,v2,dispatch,10,79.60587252176819
single-delay-switch,v2,dispatch,11,79.59982242227616
single-delay-switch,v2,dispatch,12,78.94523474310273
single-delay-switch,v2,dispatch,13,78.94207393416508
single-delay-switch,v2,dispatch,14,78.27335040786137
single-delay-switch,v2,dispatch,15,78.26673282318399
single-delay-switch,v2,dispatch,16,77.5838700487314
single-delay-switch,v2,dispatch,17,77.5804023204936
single-delay-switch,v2,dispatch,18,76.88354769010365
single-delay-switch,v2,dispatch,19,76.8799097746797
single-delay-switch,v2,dispatch,20,76.16919873286615
single-delay-switch,v2,dispatch,21,76.16155729119416
single-delay-switch,v2,dispatch,22,75.43710700179668
single-delay-switch,v2,dispatch,23,75.4330849526527
single-delay-switch,v2,dispatch,24,74.69514518807848
single-delay-switch,v2,dispatch,25,74.69091105129888
single-delay-switch,v2,dispatch,26,73.93977181482528
single-delay-switch,v2,dispatch,27,73.93529707398606
single-delay-switch,v2,dispatch,28,73.41708566097313
single-delay-switch,v2,dispatch,29,73.07002135323168
single-delay-switch,v2,dispatch,30,72.72111414208793
single-delay-switch,v2,dispatch,31,72.37041466926351
single-delay-switch,v2,dispatch,32,72.26336090778577
single-delay-switch,v2,dispatch,33,72.23379062440296
single-delay-switch,v2,dispatch,34,72.22625870837719
single-delay-switch,v2,dispatch,35,72.22624711352557
single-delay-switch,v1,diagnostic,1,0.01371681788209212
single-delay-switch,v1,diagnostic,2,0.013715164750400497
single-delay-switch,v1,diagnostic,3,0.0028475267440137334
single-delay-switch,v1,diagnostic,4,0.0012891509025622825
single-delay-switch,v1,diagnostic,5,0.0007795207279358467
single-delay-switch,v1,diagnostic,6,0.00025473187379463155
single-delay-switch,v1,diagnostic,7,3.8468824956083536e-6
single-delay-switch,v2,diagnostic,1,0.01371681788209212
single-delay-switch,v2,diagnostic,2,0.013700237976046708
single-delay-switch,v2,diagnostic,3,0.0028624151574591114
single-delay-switch,v2,diagnostic,4,0.0012742529040451948
single-delay-switch,v2,diagnostic,5,0.000794413933449806
single-delay-switch,v2,diagnostic,6,0.00023983627162380575
single-delay-switch,v2,diagnostic,7,1.8741906614687057e-5
